Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S.2017.G04.S40,groencompost,plant,Compost-2,10.8,14.4,3.6,470,,16.6,3.7,880,11,55,2.5,40,111,1.7,180,11,38,19,130,27,250,2.6,120,6.9,5.3,1.7,51,2.1,173,3305,1,92,8760,5,,13
16S.2016.G05.S41,KeraproSon,keratin,KeraproSon,28.1,20.9,24.2,725,6.22776694,3.4,25.2,1350,19,44,3.7,59,115,1.8,280,9,159,26,213,21,1880,5.2,2040,5.5,0.2,4.5,72,2.1,287,3770,8,88,3020,4,,5
16S.2017.G05.S41,zaadmeel,seeds,Terrafit_Biofum,33.5,19.3,49.3,572,,9.1,4.9,960,9,66,1.4,33,47,1.8,320,26,32,6,83,98,380,2.6,160,7.4,4.5,1.5,47,2.1,376,2680,1,92,9680,4,,18
16S.2016.G06.S42,KeraproSon,keratin,KeraproSon,23.1,25.4,24.2,657,7.455478434,3.4,25.2,1460,18,51,3.5,60,121,1.8,240,6,166,27,218,21,2030,4.6,1690,5.5,0.2,4.5,64,2.1,157,3320,7,89,3020,4,,17
16S.2017.G06.S42,haar/hoefmeel,keratin,Hair_meal,9.8,19.7,32.3,460,,3.4,24.4,650,13,37,1.6,38,17,1.1,200,14,20,5,76,96,250,2.6,140,7.3,5.7,1.5,43,2.1,232,2895,0,92,8860,4,,12
16S.2016.G07.S37,KeraproSon,keratin,KeraproSon,38.9,25.5,26.3,645,6.930773417,3.4,25.2,1300,20,38,3.5,58,122,2,280,10,167,28,224,21,2090,5.4,1890,5.5,0.2,4.4,68,2.1,314,3585,6,89,3020,4,,19
16S.2017.G07.S37,CaNO3,control,Control+N,4,8.1,7.8,732,,,,1150,22,27,1.3,46,55,2.4,240,7,184,7,156,21,250,2.6,560,5.6,0.2,4.3,80,2.1,289,4400,10,86,3020,4,,22
16S.2016.G08.S38,KeraproSon,keratin,KeraproSon,24,26.3,24.6,648,5.791105416,3.4,25.2,1420,18,51,3.6,61,127,2.1,260,8,166,30,224,22,1830,5,2010,5.4,0.2,4.5,70,2.1,392,3315,7,89,3020,4,,9
16S.2017.G08.S38,KeraproChamplus,keratin,Kerapro_slow_release,9.7,11,33,684,,3.6,23.1,1230,19,40,1.1,41,45,1.8,210,5,159,8,112,21,780,2.6,950,5.3,0.2,4,61,2.1,345,2920,8,88,3020,4,,10
16S.2016.G09.S39,biomassavers,plant,Biomass,22.6,14.7,44.6,867,8.772618693,11.1,38.7,1360,18,48,2.8,60,315,2.9,230,6,150,71,193,21,3040,3.8,840,5.6,0.2,4.2,73,2.1,264,3830,10,86,6720,4,,20
16S.2017.G09.S39,Keratinemengsel,keratin,Keratin_mix,3.1,14.1,21.2,686,,3.3,27.5,1130,18,42,1.4,43,45,1.6,160,2,130,10,149,21,1480,5.3,2110,5.2,0.2,3.6,51,2.1,403,2555,9,87,3020,4,,9
16S.2016.G10.S40,biomassavers,plant,Biomass,28.6,23.5,49.3,883,6.528955495,11.1,38.7,1510,16,63,3.1,61,310,2.5,240,7,152,65,209,21,1560,3.7,970,5.6,0.2,4.2,66,2.1,422,3405,8,88,7530,4,,22
